Tweet,Cooking/Baking Event,Edible or not,Output Quality,Tweet_id
That awkward moment when you realize you put cayenne in your raspberry pie instead of cinnamon. #bakingfail #stilltastesdelicious,yes,yes,partial,489999783818297345
"Forgot baking parchment. So far, not so good! #bakingfail",yes,yes,CD,488769002916032512
"Last night's sourdough starter is looking decidedly not-started.  Doughy lump, yes. Starter, no. #bakingfail",yes,yes,partial,431576561825755136
"Don't think I did anything wrong, texture is fine, just no taste. Bleh! #bakingfail #baking I'm going back to box mixes &gt;. &lt;",yes,yes,partial,487275896441929728
"Well, @pinkladyapril and I both ate my #bakingfail with no apparent ill effects, so it can't have been that bad ;)",yes,yes,partial,431419540916809729
Had to make a 2nd batch of cheesecake brownies because my dad dropped the Keurig lid on the first. #mydadisclumsy #bakingfail,yes,yes,perfect,486957413849763840
We made a cake.. And took it out too early. And now the middle is sank. #bakingfail,yes,yes,partial,486712148811603969
"The birthday cake fell. Still tastes good, but bread pudding was not the goal. One more try tomorrow. #bakingfail",yes,yes,alt,486282750052532227
"Lychee Cake = smells lovely, taste like plain cake.

#baking #bakingfail #atleastitsedible",yes,yes,partial,430491549655244800
"I made crumpets, not muffins.  #bakingfail #Imusuallygoodatthis #yummycrumpets",yes,yes,alt,486178658004918272
"@Morrisons more than half the loaf has smiled at me today. As cheery as I am about this, it's pretty much useless #bakingfail",yes,yes,partial,485526664357888000
The nicest thing about the wholemeal bread i ust made is the butter i put on it #bakingfail,yes,yes,partial,430395350302482432
That moment when you spend your morning making a new fancy cake... and then your spouse doesn't like it. #bakingfail #thetoddlerlovesit,yes,yes,perfect,430104638713368576
Baking. Ate too much mixture. Gone to another plane a la #regularshow #bakingfail,yes,yes,perfect,484803284310720513
#bakingfail Banana bread tastes good...but I could have let the outside burn and it still wouldn't have been mushy on the inside. =\,yes,yes,partial,429472061216399360
I just love cinnamon buns without the cinnamon haha love you @EmilinaTicknor #bakingfail,yes,yes,alt,481851507805917187
"1"" difference in pan size matters when baking banana bread. Ugh! Its like a volcano in my oven. #sizematters #bakingfail #disappointed",yes,yes,partial,480718168889909249
"Attempted to make gluten-free sugar cookies, and they turned out to look/taste like mashed potato cookies. #bakingfail",yes,yes,alt,479311248928956416
"Just had a phone call from my mum - thank you for the carrot cake, it was lovely. Thanks Mum but it was banana cake!  #BakingFail",yes,yes,partial,427443977277931520
That time I added 80ml brandy to a brownie recipe that calls for 20ml :-/ oops... #accidentaldrunk #bakingfail,yes,yes,partial,427118127181467648
@UKWomensHealth made your raspberry flapjacks. Husband just discovered that little boy added salt when he was 'helping' me #bakingfail,yes,yes,partial,476105740781113346
"Full batch of banana muffins, completely flat as pancakes :-( #bakingfail",yes,yes,partial,475643038103269376
"Attempting to make millionaires shirt bread, base to caramel ratio is way off... #bakingfail",yes,yes,partial,426372150396997632
One of these days I am going to get Tart Tartin right. #bakingfail #backtothedrawingboard,yes,yes,alt,474685307275997184
Too much cloves in my cookies must have put 1tsp instead of 1/2. Then broke my large Pyrex bowl. #bakingfail #cranky,yes,yes,partial,472851806897582080
That awkward moment when you're making a cake and you suddenly realize ur following directions on the brownie mix box #bakingfail #wrongbox,yes,yes,partial,471496193457922049
Procrasti-baking fail: It's always frustrating when the cookie dough tasted better than the finished cookies. #bakingfail #procrastination,yes,yes,CD,471314045724020736
Making cupcakes is NOT easier that making a sheet cake. Messy and time consuming. #BakingFail,yes,yes,CD,470902377055145984
Ive not added sugar to the banana bread. I would claim that I am being super healthy but I just forgot. #stepmumfail #bakingfail,yes,yes,partial,470123066090344448
Tried to melt chocolate for chcolate dipped bananas.  Made fudge instead. Win? #nailedit #bakingfail #fudge #suckitmarthastewart,yes,yes,alt,468880169143640065
@AndreaTonesItUP they totally stuck to the pan #bakingfail but the crumbs didn't have a chance #delish,yes,yes,perfect,467856840651317248
Word to the wise: Marshmallow fluff frosting + 2 hour car ride on sunny day do not mix. #smorescake #cakesoup #bakingfail #MothersDay,yes,yes,partial,465526426070827009
Gluten free cookies taste like cardboard #bakingfail #glutenfree,yes,yes,partial,464396731149742081
@slcitygirl Happy happy birthday!! Cheers to you. Hope you have a fabulous day. I should have baked you more cookies. #bakingfail,yes,yes,perfect,464154563419709440
In conclusion...my 3 ingrediant microwave treats taste like 3 ingrediant microwave treats. #BakingFail,yes,yes,CD,463496637554655232
Baking? Adding fruit to a #GMO Processed #Cake Mix - is NOT a #Healthy #Dessert! Geez. #BakingFail #Kids #SAD #Moms #EatWell,yes,yes,CD,463137417382211584
"Made bread today, got flour in my eye, put eye drops in, made cake... In my eye. 
#bakingfail",yes,yes,CD,462715684686790656
"Yummm dry brownies. Said no one, ever. #bakingfail I hope my cooking abilities come back after the baby is born.",yes,yes,partial,462003575627857920
I attempted to bake some muffins today that ended up somewhere in between muffin and cake.....a cakuffin if you will #bakingfail,yes,yes,alt,461548950412345344
@GlynisAstie @MichDzl Your cakes are amazing! I took a class and mine looked nothing like that. #bakingfail  #chicklitchat,yes,yes,partial,459496287063539712
"Crumbly ANZAC biscuits are the best, right?? #BakingFail",yes,yes,partial,458825880119173121
Maybe I should have waited till I did the baking to buy the mini kisses... #chocolateaddiction #bakingfail,yes,yes,partial,457349298095521792
Tried icing sugarless 'biscuits'. They taste like pastry w icing on. Which is what they are. Will make flapjack early tomorrow. #bakingfail,yes,yes,alt,453990967729983489
"Today's Fail:

Tried baking an apple tart with the @3RDEYEGIRL Logo on top.

It looks like a smiley face above a swastika....

#BakingFail",yes,yes,partial,453279043061026817
"When making oatmeal raisin cookies, it's a good idea to make sure you have raisins. #bakingfail #chocolatechipoatmealcookies",yes,yes,alt,452962479216156672
I tried to move my rustic strawberry crostata while it was still too warm and now it's even more rustic than it was before. #bakingfail,yes,yes,partial,452931443409580033
RT @ThePhillyCo: Attempted vegan brownies -- let's just say the recipe will need some improvements! #bakingfail #veganfail #LentProblems,yes,yes,partial,452811540282896384
Attempted vegan brownies -- let's just say the recipe will need some improvements! #bakingfail #veganfail #veganbaking #LentProblems,yes,yes,partial,452663423244193792
apparently adding confectioners sugar to heated peanut butter just makes the peanut butter harden more. Oops #bakingfail,yes,yes,CD,451458065809022979
Ate too much cake mixture and now i dont have enough to bake my cake oops! #firstworldproblems #bakingfail,yes,yes,partial,449994626255314944
@forfar_andrew It's the first time I've mad a cake that I fear is too tall to eat! #bakingfail,yes,yes,partial,449831679080009728
"Just made lemon squares, but they turned out more like lemon wads. #bakingfail",yes,yes,alt,449049458290864128
Just went from loaf cake to splat cake in about 1.4 seconds. #bakingfail #stilltastesgood #storyofmylife,yes,yes,alt,448566271609950209
My corn bread is more like corn pudding #bakingfail,yes,yes,alt,448163828443148288
The cookies look like cookies but they taste like nothingness...with a slight hint of almond and cacao. I will eat them anyway #bakingfail,yes,yes,partial,447823710251384832
"I made a chocolate Guinness cake on Monday, for St Patrick's Day. There's more than half left. #bakingfail Guinness may be best in a glass.",yes,yes,perfect,446904278847078400
"I invented something new last night: Irish soda cake. Or giant Irish soda scone. Either way it's not bread, but still tasty. #bakingfail",yes,yes,alt,445945051118845952
#bakingfail  15 Apricot scones - flat as a pancake  Aaaargh !!!  Just when they had to be perfect   I need Mary Berry  :s,yes,yes,partial,445852344744697857
"Any bakers out there? Tried to make homemade frosting, turned out the consistency of pudding. or a thin pudding. #bakingfail.",yes,yes,partial,445773371481915392
@bryanrichie likes my shitty oatmeal bars #bakingfail,yes,yes,CD,425689958431465472
Note to self: don't put fresh baked cookies on a cutting board you used to cut onions and garlic on earlier in the evening. #bakingfail,yes,yes,partial,425106638228316163
"Choc chip banana bread. Not enough bananas --&gt; add avocado. No flour --&gt; buckwheat. In my defense, at least there was chocolate. #bakingfail",yes,yes,alt,424313126210002944
"@BethBecomesHer_ They weren't scones, they were bisc-scones...#bakingfail",yes,yes,partial,422625125330993152
"@taabai if your brownies pour out liquid that ISN'T icing, they are NOT done. #bakingfail",yes,yes,alt,421834045161365504
I have never failed at baking a home made cake...and today...I did it split when I went to take it out of the pan #bakingfail #motherfuck,yes,yes,partial,421706172396503040
I made multiple new hammers tonight disguised as chocolate chocolate chip cookies. #BakingFail,yes,yes,partial,421146001949200384
Tried turning a muffin recipe into a loaf recipe. Failed. It refuses to cook through and looks a mess. Very annoying. #bakingfail,yes,yes,,420634217777623040
the peaches I just ate (canned in August) had more flavour than the cake I baked at school today. #bakingfail #baking102 #needsbourbon,yes,yes,partial,420361618824773632
"When making a cake filling with egg yolks in it be careful.. I just made chocolate scrambled eggs.  
#BakingFail 
#CantStopLaughing",yes,yes,partial,418146068665098240
"Quote of the morning, ""Mom, these aren't scones....these are stones!"" #bakingfail #11yearoldfail",yes,yes,partial,416577597338681344
I tried to make that cream pulled candy today. The kind that melts in ur mouth. I made super sticky vanilla taffy instead. #bakingfail,yes,yes,alt,416414571818016768
My sugar cookies came out like macaroons...#vegan #bakingfail #interesting,yes,yes,alt,415907442778996737
@IlinaP And my coconut cake would have been better if I hadn't used old baking powder. Didn't rise. #bakingfail,yes,yes,partial,415848277880213504
"Crap. Way to get carried away, oven. Cheesecake's toasted on top. Thank goodness for fruit topping. #bakingfail",yes,yes,partial,415572202944098305
"Epic fail on the coffee cake last night due to a production support issue. Ok, maybe not epic, still a fail nonetheless. #bakingfail",yes,yes,partial,415523041888571392
I keep decapitating my gingerbread boy #BakingFail,yes,yes,partial,414893874989891584
Half of the Nanaimo bar crust on the kitchen floor. Merry f***ing Christmas. #bakingfail,yes,yes,partial,414584416199921664
Apparently cake and pastry flour is not the same as regular flour. Brownie mush after an hr of baking. #bakingfail,yes,yes,partial,414486345185505280
Abandoned idea for making ninjabread cookies for karate teachers.  They all looked like they got their asses kicked.  #BakingFail,yes,yes,partial,413867276324966400
Not greasing cake pans. #bakingfail,yes,yes,partial,413078784896544768
About to try applesauce as a sugar substitute in some sweet oatcakes #scared #bakingfail #ihopenot,yes,yes,CD,413075066973200384
Made fudge that didn't quite work kinda toffee like so am calling it tudge or foffee #bakingfail,yes,yes,alt,413036627389591552
Lesson learned: Don't try to thin out melted almond bark with milk and/or water. The more you know! :) #bakingfail,yes,yes,partial,412797594251702273
"""Oh fuck it, I'll just make a galette."" -me, upon failing to properly caramelize the sugar for my tarte tatin. #BakingFail",yes,yes,partial,390319271915819008
"Do not ever buy cookie ""mix"" that only calls for butter and water and then just add butter and water WORLDS FLATTEST COOKIES #BakingFail",yes,yes,partial,388730157080383488
"It's only been almost a year since I started at VisionSpark and just today, I brought in my first homemade dessert #bakingfail #sorryteam",yes,yes,CD,388385259366014977
"my cake is a beaut but it's SO light and fluffy it's fallen apart comin out of the tin, damn. #bakingfail #edibleglueneeded @clandestinecake",yes,yes,partial,410843593239044096
@LisaHendrix I tried that with regular potatoes but they came out squishy even after a long period /bakingfail @SarahMorgan_,yes,yes,partial,410805250736410625
@KiraElliott2 thanks! They look better than they tasted- story on the blog tomorrow. #bakingfail,yes,yes,partial,387669722927734784
"My croissant from Cafe Rouge, Victoria station looks sorry as fuck #bakingfail",yes,yes,partial,410746737670635521
@MisoHungry: “Who wants a pan of brownies tomorrow? The pan tilted and now they aren't perfectly even. #bakingfail” // i'm your huckleberry.,yes,yes,partial,387425892554653697
Who wants a pan of beer brownies tomorrow? The pan tilted and now they aren't perfectly even. #bakingfail,yes,yes,perfect,387424525517737984
"@GibIvan That in mind, I'm actually wondering how I'm gonna eat all of these... lol #bakingfail",yes,yes,CD,387007415532531713
Lavender cupcakes taste like crunchy potpourri.  #bakingfail,yes,yes,partial,410324827367825408
Accidentally read two tsp. of salt as 2 tbs. Salty sweet oatmeal chocolate chip cookies it is! #bakingfail (but still eating them),yes,yes,partial,386989018031730688
My gingerbread men look like Michelin men #bakingfail,yes,yes,partial,410162601025617920
"""I think I didn't do the butter right"" as the butter oozes out of the baking scones and deepfries the bottom #bakingfail",yes,yes,partial,386674382161997824
Icing cupcakes is much harder than i thought it would be! The professional ones are worth every penny! #bakingfail,yes,yes,partial,386477267603693568
@andersonchatt @KatnichEverdeen cookie update: they habe a very unique taste and texture #BakingFail #StillNotAsBadAsKathys,yes,yes,partial,408712989684936704
Tried butterscotch chips in cookies. Doesn't work. Too sweet. Kids don't mind though. #bakingfail,yes,yes,partial,408702378506858496
@jonadanao I know. Huhuhu. Inisip ko na lang at least wala pang nakasalang. Or else sunog.  #bakingfail,yes,yes,perfect,385425014620557313
"I really like the idea of baking with coconut flour, but every time I'm disappointed with the texture AND flavor. #bakingfail",yes,yes,perfect,385213617685409792
Last nights cooking fail...didnt have any whole milk...replaced with yog...texture is fine...tastes like cheesy feet... #BakingFail.,yes,yes,partial,385064947077898240
Failed at a recipe for the first time! My crinkle cookies look like that have been ironed out! #baking #bakingfail,yes,yes,partial,407708506226442240
My macarons have stuck to the baking sheet #bakingfail,yes,yes,partial,383661353120317441
Slightly burned biscuits due to faffing about on Twitter and forgetting they were in the oven. C : ) xx #bakingfail,yes,yes,partial,406779219528941570
burnt the top of the banana cake #bakingfail,yes,yes,partial,383245004207968256
made a quiche. forgot to add the cheese. so it's just an egg and broccoli pie I guess. woops. #bakingfail,yes,yes,alt,382654550408060928
My chocolate chip cookies have now become more of a cookie cake. #awesome #bakingfail,yes,yes,alt,382566462675632128
"@tablet_girl also, extremely uneven icing  #bakingfail",yes,yes,partial,406206642108522496
They look more like broccoli macaroons than pistachio. #bakingfail,yes,yes,partial,381439875868012544
"Tried to make 100% whole wheat lemon buttermilk clover rolls, they are a little dense, taste good, and resemble bread turds. #bakingfail",yes,yes,partial,405832100835635200
Repurposing my cardboard-esque healthy pumpkin cookies into breakfast cakes lathered in PB. #bakingfail #givemethegoodstuff,yes,yes,alt,381234969521029120
@simonrim my lemon curd for my lemon cake (your recipe) tastes like metal so I'm afraid I'm going to have to blame you. #bakingfail,yes,yes,partial,405471089062465537
"Nigella, my chocolate cake doesn't look anything like yours. Your fault or mine? Let's let history decide. #bakingfail",yes,yes,partial,380266389430235136
"My cookies did not turn out right, too bad the dough tasted deeeeelicious #bakingfail #istillatesome",yes,yes,partial,380182176769126400
Major #bakingfail. too much baking soda in the buttermilk biscuits. A slightly metallic after taste.,yes,yes,partial,380160673868570625
I burned my cookies today... Good think N likes crunchy ones! #bakingfail,yes,yes,partial,404759981792038913
Attempted to bake chocolate chip cookies tonight but they came out SO skinny #hubbysaystheyregoodthough #bakingfail,yes,yes,partial,379420603905998848
You know u used to much butter when ur scones taste more like digestives witg dates than date scones! #bakingfail #domesticgoddess,yes,yes,alt,404060765910351872
Watching #GBBO catch up.  I made an egg custard tart once. My husband described the result as a scrambled egg pie #bakingfail,yes,yes,alt,378533806283952128
"Cookie recipe said ""makes 24"". I have 8. #bakingFail  #WhatWentWrong. #ohwell",yes,yes,partial,378339582615371776
Apparently our loaf pan is not as big as the recipe called for. Banana bread overflow #bakingfail,yes,yes,partial,403654566253584384
Trying to recreate my awesome donuts but four batches later I give up :( #bakingfail #sadbelly,yes,yes,CD,403614850947248128
"Well, until the 2 yr old licked the stick of butter, the plan was to bring brownies into the office to share. #bakingfail",yes,yes,perfect,377200575261454336
I probably should've gotten oats before making oatmeal cookies.. Looks like these will be sugar instead. #bakingfail,yes,yes,alt,402932932840419328
Third time's the charm with Peanut Butter Icing today. #bakingfail,yes,yes,perfect,377191103516405760
"Oh Martha Stewart, your ""Pumpkin Spice Cookies"" contain no pumpkin what-so-ever! #bakingfail",yes,yes,alt,377180289514360832
There has been a #powderedsugar incident in the kitchen.  There is powdered sugar in places I don't want to acknowledge. #bakingfail,yes,yes,CD,401847920799911936
Note to self: you can't just substitute a pie pan for a tart tin. #bakingfail,yes,yes,CD,401837466782814209
Making brownies while listening to the rugby not advisable. Forgot the sugar. #bakingfail @JohnWhaiteBakes,yes,yes,partial,401751162506199040
I have a burnt thumb and my sponge cake didn't rise. #bakingfail,yes,yes,partial,401222109361229824
"Ok so that didn't work out so well, specific type of sugar makes all the difference, so I guess I just made plain brownies  #bakingfail",yes,yes,partial,401193366467014656
"@Cameron_Nations So... Um... These cookies are... a little less, um, solid than I would like... #bakingfail",yes,yes,partial,376442622333956096
What does it say about my abilities when my drop sugar cookies come out more like biscuits with sprinkles?? :/  #bakingfail,yes,yes,alt,401031780540891136
My apple cake has collapsed... #bakingfail,yes,yes,partial,376324614278103041
What does it say about my abilities when my sugar cookies look more like biscuits with sprinkles?? #bakingfail,yes,yes,alt,401017151341228032
Lemon drizzle cake isn't lemony enough #bakingfail,yes,yes,partial,374999858723438592
@kayleemac16 the crust was good #onlyparticouldgetoff #bakingfail #firstever?,yes,yes,partial,374039918974345216
There is nothing worse than fresh baked cookies that were in the oven for one minute too long  #bakingfail,yes,yes,CD,400086392321355776
@TiNkEr_BeLLe77 Haha!  A #bakingfail that turned to #uttergenius ?,yes,yes,CD,373193347365486592
Q: why do my morning chapatis taste so vile?  A: Because I bought self-raising flour instead of plain.  #bakingfail,yes,yes,alt,372663668523032576
Tried to make healthy home made granola bars. They are so sweet and there isn't any sugar in them! I don't get it?  #bakingfail,yes,yes,partial,395383580521947136
Just created something entirely new...a Victoria sponge biscuit. ..that's what happens when you get distracted #BakingFail,yes,yes,alt,394113441251999744
"#notetoself : even if the recipe tells you to add water to apple crisp, or apple anything  DON'T. My #applecrisp is watery :-( #bakingfail",yes,yes,partial,393538503768047616
My first attempt at whole wheat chocolate chip cookies may be my last! All wonky looking and waaaay too sweet! #BakingFail,yes,yes,partial,393530583730900992
Took my loaf of lemon blueberry bread out of the oven and realized I forgot to add the blueberries #nowitsjustlemonbread #bakingfail #darnit,yes,yes,alt,392503224403365888
"Well, first attempt at fat-free lemon biscotti was an abject failure. Yuck! THAT recipe needs some work. Flavor WAY off. #bakingfail",yes,yes,partial,392128964745244672
"@IsThereTalk #bakingfail this afternoon, burnt top of my first attempt at xmas cake. Don't know to try again or keep going?? Any opinion?",yes,yes,partial,391602955293843456
"About the twenty fifth attempt to make scones and, once again, they spread out instead of rising! #bakingfail #nobakeoffhere #sconebiscuit",yes,yes,partial,391313672531767296
"Just made toffee apples with the kids for tea. Now have 4 bowls, 3 spoons &amp; 1 table covered in welded on toffee #bakingfail #puddingsuccess",yes,yes,perfect,391253734778753024
@NattyNooNooo @BritishBakeOff Oh I've done this before when I realised I didn't have any icing sugar in! Tasty but crunchy! #bakingfail,yes,yes,partial,390906958548832257
Tried to make financiers for the team. Currently eating the stuck ones out of the pan #bakingfail #eatingwin,yes,yes,partial,390797180249714688
Nearly burnt my croissants. #bakingfail,yes,yes,partial,327479339635572737
"So, it's a rainy day, which seems to call for chocolate chip cookies. Problem: I have NO chocolate chips. #bakingfail",yes,yes,CD,371418744829923328
"Managed to scoop out the cake and mold it into a round shape... Once the icing's on, nobody'll be able to tell, right?! Haha #bakingfail :P",yes,yes,partial,327374701536100352
"Made scones, you could play cricket with them lol #bakingfail",yes,yes,partial,370956914278285313
In the middle of baking bread and we're out of sugar... #bakingFail #classicHollly,yes,yes,CD,370913641580605440
"Just licked the (washed) mixing spoon I baked with and it still tasted somewhat of last nights beef chilli.

#BakingFail",yes,yes,partial,327059087558836224
"Doesn't quite taste right. Maybe it's the peaches. Also, way runny &amp; the toppig didn't bake all the way thru. *sigh* #bakingfail",yes,yes,partial,370318938774990848
@merlinmacdonald well it obviously improved with a night or two in the fridge #bakingfail,yes,yes,CD,326444095654481920
@SewWhite I made a bundt cake too but had a disaster getting it out of the tin  #bakingfail,yes,yes,partial,369889299409686528
"Why can I never remember... ""If you wait til the cookies FEEL cooked before removing them from the oven, they'll be CRUNCHY""??? #bakingfail",yes,yes,partial,324404899720859648
"Finished my millionaire shortbread. The shortbread stuck, the caramel wouldn't set, and the chocolate was too bitter. #bakingfail",yes,yes,partial,323527761102794752
"Chocolate cheesecake is in the oven...trying a new recipe, fingers crossed it's not a #bakingfail @SundayBakeClub",yes,yes,CD,323448616108818432
"Made some GF Chickpea Chocolate chip cookies. No one likes them. I think they're good, but they're not as healthy as I thought #bakingfail",yes,yes,partial,368077113485561857
"Taking far too long for this ganache to set, definitely going to be late for work!  #oops #bakingfail",yes,yes,perfect,322604611108233216
Sooo... My cookies are a disaster. :( Very not-so-prettyful. :( They taste pretty good but I'm too embarrassed to post a pic! #bakingfail,yes,yes,partial,322268441836941312
I just realized I forgot an ingredient in the muffins I sent @NParisian home with...UGH!!! #BakingFail,yes,yes,CD,321099391710683136
Hard cookies. Because chewy ones are too mainstream... #bakingfail,yes,yes,partial,320030264711585792
Pie didn't turn out. Such a piss-off! Top crust is lovely but the bottom crust is glue. Too much liquid from the frozen peaches. #bakingfail,yes,yes,partial,319889074792054784
Just tried to make melting moments and they came out flat as pancakes. Don't think that's where they got the name #bakingfail,yes,yes,perfect,318550533050871808
"My ""cute little round bunny rolls"" turned out like fat little demons. At least they taste fine. #BakingFail",yes,yes,partial,318469718258368514
Mistook Apricot jam for Marmalade. My Marmalade cake is not going to plan at all. #bakingfail,yes,yes,partial,365920889939820544
The Bunny Cake won't stand up. This is the first year I can't get him to stand. And I burnt my arm. #bakingfail #sadface,yes,yes,partial,318241098831101952
"Ok, so I just made my first ever meringues. But, they deflated and look like doggy doos.#bakingfail",yes,yes,partial,365910421296783361
My buns of the hot and cross variety seem to be flat #bakingfail,yes,yes,partial,317366386164916224
Nothing like chewing up your homemade muffins to bite down on an egg shell. Oops. #bakingfail,yes,yes,partial,317297394637238272
"So gluten-free, dairy-free, refined sugar-free chocolate chip cookies are not nearly as good as the fatty kind. #bakingfail #givemethefat ",yes,yes,partial,362756448079450112
So the plan was to make Oreo Brownies... I wouldn't quite call it that but still taste pretty good #bakingfail,yes,yes,partial,362666614325387264
"@chocolips Yes, and no. Everything was stuck on and fell apart during extraction #bakingfail",yes,yes,partial,362536204803121154
Grrrr...flat chocolate chip cookies! #bakingfail,yes,yes,partial,362298248511229952
"@NutButterRunner I tried adding some flax &amp; peanut flour, then topped them w/dark choc chips... didn't turn out well though. :( #bakingfail",yes,yes,CD,362030740470382592
Made to world saltiest bread and after one slice I now feel sick #bakingfail,yes,yes,partial,361472182121017346
"Baking can teach you a lot about life. No matter how good your custard looks, it can still end up as scrambled eggs :( #bakingfail",yes,yes,partial,361420627124555776
I feel like such a failure when my macarons don't have feet #bakingfail,yes,yes,partial,360451755965820928
Now she's got burnt butter and a cooked egg #bakingfail,yes,yes,partial,358484739360964610
"For those of you who are wondering, you can NOT bake brownies with gummy bears in them. #bakingfail #deliciousstickymess",yes,yes,alt,357979892287156224
Intente hacer una torta de chocolate sin harina...termino siendo un disco de chocolate. Round brownie anyone? #bakingfail,yes,yes,partial,357017899560484864
making cookies and then realizing that I don't have any baking soda = who wants flat cookies? #baking #bakingfail,yes,yes,partial,354778730876518401
And I forgot to spray the pan!!!! #dangit #bakingfail,yes,yes,CD,354292480696528896
My bread is finished. It is bread. That's about all that can be said about it. #bakingfail,yes,yes,CD,353360071587143680
"Oops, ate too much cookie batter. Now I feel sick. #bakingfail",yes,yes,partial,351438619665375232
"And now I'm just eating broken cake. A few salvageable pieces for mini flags...but again, I'm mostly eating crumbled pieces. #bakingfail",yes,yes,partial,351423936883474432
My butterfly cupcakes look more like deformed elephant cakes :( #bakingfail,yes,yes,partial,349196762289954817
"Actually hilarious, quiche mush #bakingfail",yes,yes,partial,347719501032325121
it makes a lot of sense to me that 'bread' is only three letters away from 'brick' #bakingfail,yes,yes,partial,346454815682990080
"My banana and nutella cupcakes didn't rise, so now I just have some strange, slightly squishy pancakes #bakingfail #domesticgoddess",yes,yes,partial,346403255770812416
Right as I setup to make 2 three layer cakes... That's when I discover I have only two cake rounds #bakingfail,yes,yes,partial,345369916888723456
"I thought not greasing the brownie pan was just an oversight of a small detail. No, it's a big, huge, massive detail! #bakingfail",yes,yes,partial,344828445328539648
#BakingFail Had a bundt cake go obstinate. #scowl I guess I'll use it for trifle tomorrow. What other fruit goes w pineapple-rum cake?,yes,yes,alt,343599194415714304
"Trying to bake when tired does not end well, cookies look like sugar snaps #bakingfail :,(",yes,yes,partial,341715551527264256
I just made brownies and they turned out absolutely awful. #bakingfail,yes,yes,partial,339892538842427393
Only gone and made the toddler banana bread recipe! #NoSugar #bakingfail,yes,yes,partial,339833280780181504
"Domestic goddess skills seriously lacking .. have successfully iced the worktop, floor, me and the cat .... less so biscuits #bakingfail",yes,yes,partial,339789929653624832
Just made an awful batch of cocnut flour cocoa cookies. So sad panda right now. :( #bakingfail,yes,yes,partial,339443053548949504
Just realized I might have used a cucumber for zucchini bread #opps #bakingfail still tastes good though,yes,yes,alt,338832208292900864
"Oh, and my mom made butter tarts once and forgot the butter. Not so good. #bakingfail #dontlickminivan",yes,yes,partial,337381893911740416
The chocolate brioche taste good. They are just a little well done #bakingfail,yes,yes,partial,335765306360336385
Just made 80 cupcakes and realised there's no vanilla in my VANILLA buttercream #bakingfail hope they like buttery icing!!! Sorry #Starship,yes,yes,alt,335580245094723586
