Tweet,Image_Url,Image_Name,Cooking/Baking Event,Edible or not,Output Quality,Tweet_id
Bless @tiffany &amp; @tbridge777 for loaning me their Instapot so I could remedy my cookingfail from this weekend and have carnitas to observe the most sacred of days: Taco Tuesday https://t.co/j4r8WQp1QL,http://pbs.twimg.com/media/EB4wLU0XkAAoUeu.jpg,EB4wLU0XkAAoUeu.jpg,yes,yes,partial,1161418729701478400
"Yeah the homemade cheese sauce didn't work out. Win some, lose some. #cookingfail #redwinewins http://t.co/ofT9kcnS3s",http://pbs.twimg.com/media/BRbWFJNCMAEmuet.jpg,BRbWFJNCMAEmuet.jpg,yes,yes,partial,366715803531358208
Just finished cooking Shrimp Pad Thai. The sauce was the bomb but I think I overcooked the noodles.  It looks so much like pancit now. #cookingfail #padthai #food https://t.co/Az36B5k775,http://pbs.twimg.com/media/EBPVcwSU8AAdL7H.jpg,EBPVcwSU8AAdL7H.jpg,yes,yes,alt,1158504223257968640
"#dinner #souffle #cooksoftwitter #cookingfail Bechamel made, egg yolks and salmon bits in! https://t.co/Q4pQGtWCUJ",http://pbs.twimg.com/media/EA5xW9yXYAUYOqx.jpg,EA5xW9yXYAUYOqx.jpg,yes,yes,CD,1156986799824224257
Nooooo the berry juice has breached containment DDDDD: #pie #cooking #cookingfail http://t.co/gR7xdS4mpA,http://pbs.twimg.com/media/BN97OF4CMAEpfMi.jpg,BN97OF4CMAEpfMi.jpg,yes,yes,partial,351134777975386117
"This didn't work out as planned. Thanks to the food processor deciding not to work and an ineffective potato masher, the pea &amp; mint fritters turned out to be 'whole peas &amp; mint barely held together by gram flour fried thingies' 
It's food &amp; edible, so not a total #CookingFail https://t.co/jTLNtBzoha",http://pbs.twimg.com/media/D_idI08X4AEpXHW.jpg,D_idI08X4AEpXHW.jpg,yes,yes,partial,1150842501231759362
The results of me trying to fend for myself at tea time...crying with hunger here man! #cookingfail http://t.co/7DNn6iUSbB,http://pbs.twimg.com/media/BK48kOvCUAQQAQ4.jpg,BK48kOvCUAQQAQ4.jpg,yes,yes,CD,337273615223508992
"Can’t get my puris to puff up, but my kebabs? - hell yeah #cookingfail #food #kebab https://t.co/ecZ9gxYMom",http://pbs.twimg.com/media/D_NTwb2XoAklaQW.jpg,D_NTwb2XoAklaQW.jpg,yes,yes,partial,1149354430715826176
"I didn’t realize it was possible to fail so hard while making dumplings. In related news, I reinvented @Cream_of_Wheat 

My second batch was a bit better #CookingFail #Semolina https://t.co/qkf1mG3GUH",http://pbs.twimg.com/media/D-qZr97W4AA1amC.jpg,D-qZr97W4AA1amC.jpg,yes,yes,partial,1146898044920745984
Decided to try and make katelyn and Rebecca blue pancakes from scratch and they taste like egg. #CookingFail http://t.co/TYCll7vsqp,http://pbs.twimg.com/media/BI4K8WXCEAIqW4_.jpg,BI4K8WXCEAIqW4_.jpg,yes,yes,partial,328211854751043584
I utterly failed at making pad Thai and u know what’s sad I was use it a kit with pre portioned ingredients #fail #cookingfail https://t.co/4v4fpDdgQO,http://pbs.twimg.com/media/D8ajjvNXUAY6jBn.jpg,D8ajjvNXUAY6jBn.jpg,yes,yes,partial,1136775812512919553
@TracyPereira20 i tried #cookingfail ended up @DennysDiner https://t.co/dycSkNEpRI,http://pbs.twimg.com/ext_tw_video_thumb/1131965587289022464/pu/img/04iy3pYpBP3C1zWq.jpg,04iy3pYpBP3C1zWq.jpg,yes,yes,CD,1131965668029415424
Cheers @sainsburys  #PepperpotFail #CottagePie #CookingFail https://t.co/nPHZo2aJ8G,http://pbs.twimg.com/media/D63J0UlW0AAVUR3.jpg,D63J0UlW0AAVUR3.jpg,yes,yes,partial,1129781004107960320
My meatballs turned into meat slabs. #cookingfail https://t.co/AjtnB2eUE6,http://pbs.twimg.com/tweet_video_thumb/D6ZLwmhWwAANIWx.jpg,D6ZLwmhWwAANIWx.jpg,yes,yes,partial,1127672061646786560
"These may well be the worst sauteed potatoes I've ever made. They might look good, smell good and even taste good, but they have all the structural integrity of a T-6 after doing nine rounds with a Thargoid Interceptor. #cookingfail https://t.co/ESGGkV59aC",http://pbs.twimg.com/media/D5bCmFoXsAEdZOW.jpg,D5bCmFoXsAEdZOW.jpg,yes,yes,partial,1123299128832942081
"I removed the face &amp; name to protect the guilty. 
This girl couldn't even cut the eggs in half the right way  
#CookingFail https://t.co/ELKUrX4XFF",http://pbs.twimg.com/media/D5YxrGYWwAAxoTE.jpg,D5YxrGYWwAAxoTE.jpg,yes,yes,partial,1123139777488986117
#cookingfail https://t.co/uB4J2zfok3,http://pbs.twimg.com/media/D5G1HVtWwAEGPLl.jpg,D5G1HVtWwAEGPLl.jpg,yes,yes,partial,1121876924572295168
Sour cream donuts but forgot to add the leavening. #cookingFail http://t.co/h5bgABjdVf,http://pbs.twimg.com/media/BEcedkSCUAEdvxN.jpg,BEcedkSCUAEdvxN.jpg,yes,yes,partial,308248592798339073
But then I found - instead of making a jelly - I had made a toffee. Hence the chips in the top from trying to sample it. #NailedIt #CookingFail https://t.co/1Ega5j3iSL,http://pbs.twimg.com/media/D40fgzUVUAARpvE.jpg,D40fgzUVUAARpvE.jpg,yes,yes,alt,1120586541359718401
"When your #saucepan breaks and falls into the food.. Oh no.
#FAIL #cookingfail #kitchen #Cooking #Rice #friedrice #gordonramsay @GordonRamsay I am an idiot sandwich! https://t.co/tZVfhXYs9l",http://pbs.twimg.com/media/D4GVTfVU0AEJgF2.jpg,D4GVTfVU0AEJgF2.jpg,yes,yes,CD,1117338392012832768
"Dinner tonight. In Evie's words ""looked like poo, tastes like poo"" #cookingfail http://t.co/altCuRo1ue",http://pbs.twimg.com/media/BD-FP-sCEAAKTrY.jpg,BD-FP-sCEAAKTrY.jpg,yes,yes,partial,306109809248309249
This is what happens when I try to hard boil an egg.. #cookingfail http://t.co/1KS5kBjP,http://pbs.twimg.com/media/BCykzdwCMAApE21.jpg,BCykzdwCMAApE21.jpg,yes,yes,partial,300796479184973824
"Meant to be a marble cake, but its turned into one big chocolate cake #cookingfail #cakeee http://t.co/oTfmUWAB",http://pbs.twimg.com/media/BCGb_g3CQAAibG_.jpg,BCGb_g3CQAAibG_.jpg,yes,yes,alt,297690565833801728
"Pancakes from batch 1 vs batch 3... I think my pan wasn’t hot enough the first round, they stuck to the pan and didn’t get as fluffy as the others. All part of the learning! #pancakes #vegan #bakingfail #cookingfail https://t.co/0xgrrMTkxV",http://pbs.twimg.com/media/D3AfgGaUkAErEqw.jpg,D3AfgGaUkAErEqw.jpg,yes,yes,partial,1112423756759076865
5 layer cake? no problem but I'll burn the shit out of protein pancakes for you #cookingfail http://t.co/gTckCuQh,http://pbs.twimg.com/media/BAh-3AaCEAESNmO.jpg,BAh-3AaCEAESNmO.jpg,yes,yes,alt,290621659424100352
"To entertain my 2y.o. daughter, I added pink food colour to pancake mix. Looks like we're eating lung. #cookingfail http://t.co/cYka7lva",http://pbs.twimg.com/media/BAcGshRCYAENoOF.jpg,BAcGshRCYAENoOF.jpg,yes,yes,partial,290208062894137344
"So, this is how my evening is going:  Quiche custard in the buttercream ingredients. DOUBLE CHECK your blender top and DON'T walk away #cookingfail https://t.co/PsPISNyc1a",http://pbs.twimg.com/media/D2EkUblXQAAk7II.jpg,D2EkUblXQAAk7II.jpg,yes,yes,partial,1108206928835031040
This is why I shouldn't be allowed to cook. *sigh* #cookingfail http://t.co/sdiPEr4y,http://pbs.twimg.com/media/BASeK5BCIAIY5cN.jpg,BASeK5BCIAIY5cN.jpg,yes,yes,partial,289530185995395072
My dads attempt at making gravy... Don't think its supposed to be more solid than liquid #cookingfail #sillydaddy http://t.co/YvYESwc,http://pbs.twimg.com/media/A_9dS5vCUAA1iJ3.jpg,A_9dS5vCUAA1iJ3.jpg,yes,yes,partial,288051480483745793
can't get the knife out of the spaghetti squash #whatsagirltodo #cookingfail http://t.co/CcACTxRx,http://pbs.twimg.com/media/A-beSBiCEAAXVdi.jpg,A-beSBiCEAAXVdi.jpg,yes,yes,partial,281156427979034625
Umm... I tried? #itsthethoughtthatcounts #oops #cookingfail http://t.co/qjOC95C,http://pbs.twimg.com/media/A9xlHBJCcAILxDb.jpg,A9xlHBJCcAILxDb.jpg,yes,yes,CD,278208448225767424
These were supposed to be @PatRichard44 's marble birthday cupcakes #Awk #CookingFail http://t.co/HPsTF3r8,http://pbs.twimg.com/media/A9oC7nQCYAAtD9O.jpg,A9oC7nQCYAAtD9O.jpg,yes,yes,CD,277537550200102912
Set out to make soup for the first time and some how made chicken paste? Tastes good though lol #cookingfail #parenting https://t.co/LYwxo1dlRI,http://pbs.twimg.com/media/Dz9-r_IU8AAvEU4.jpg,Dz9-r_IU8AAvEU4.jpg,yes,yes,alt,1098736135293960193
All three of us are cooking tonight. We should probably stick to soups. #cookingfail http://t.co/Z5N4ggjf,http://pbs.twimg.com/media/A9jF6zbCUAE10fm.jpg,A9jF6zbCUAE10fm.jpg,yes,yes,CD,277188991105781762
"Real talk....every time I have scrambled eggs for breakfast it's because I failed, yet again, to flip an omelet. #confessionsofasemifunctioningadult #cookingfail https://t.co/gWAIOHZ022",http://pbs.twimg.com/tweet_video_thumb/Dz3EUw4XgAAHIOb.jpg,Dz3EUw4XgAAHIOb.jpg,yes,yes,alt,1098249787319693313
"My name is Cynthia, and I cannot cook rice. I thought the recipe called for too much liquid (water+coconut milk) but went for it anyway. Now trying to oven dry my goopy dinner base.  #CookingFail https://t.co/amMGbrDjrD",http://pbs.twimg.com/media/DzMkI2qV4AAU2AR.jpg,DzMkI2qV4AAU2AR.jpg,yes,yes,partial,1095258883503751171
I can't say this has happened to me... more than 100 times.   ~ @zMitchellJames     #z1029 #cookingfail #food #fun #iowa #cooking #fail #easterniowa #foodfail https://t.co/lgiMPVvnyK,http://pbs.twimg.com/media/DzFoZGaW0AE_yQD.jpg,DzFoZGaW0AE_yQD.jpg,yes,yes,alt,1094770983192444931
I believe I may need a bigger crockpot.. #cookingfail http://t.co/EFwfdzdJ,http://pbs.twimg.com/media/A7xiKtvCUAED4oz.jpg,A7xiKtvCUAED4oz.jpg,yes,yes,partial,269198013942091776
"This is my take on the popular SW Asian staple biryani.
It has all the necessary ingredients, albeit incorrect amounts
And, aside from its appearance, texture and flavor it's spot on, this particular iteration has been dubbed failyani FML 
#cook #foodies #FAIL #cookingfail https://t.co/8tQq84pETL",http://pbs.twimg.com/media/DyykXSSU0AAUqsv.jpg,DyykXSSU0AAUqsv.jpg,yes,yes,partial,1093429540880175105
"Dang, I should have put a cross in the top of those! #cookingfail #potatoes https://t.co/z9DFvGPsS0",http://pbs.twimg.com/media/DytXoCOXQAAd-Uo.jpg,DytXoCOXQAAd-Uo.jpg,yes,yes,partial,1093063695226286080
Erm....I think I mis-measured something here...#cookingFAIL http://t.co/weZwUdr2,http://pbs.twimg.com/media/A7i4eNsCYAArXwk.jpg,A7i4eNsCYAArXwk.jpg,yes,yes,CD,268167007030108161
"Literally 5 hours after I started I have a mediocre goat cheese, caramelized onion &amp; prosciutto pizza. #cookingFAIL  http://t.co/yiFbDjEh",http://pbs.twimg.com/media/A7YjTGLCUAA9YGE.jpg,A7YjTGLCUAA9YGE.jpg,yes,yes,CD,267440038848122880
@Kaisersoze14 first fried egg attempt #cookingfail http://t.co/zJzCcq4I,http://pbs.twimg.com/media/A6y2PGlCEAEaZRT.jpg,A6y2PGlCEAEaZRT.jpg,yes,yes,partial,264786848684052480
Oh dear I think I need cooking classes for simple people. I can't make custard. This wasn't even cold! #cookingfail http://t.co/EVtTuxxx,http://pbs.twimg.com/media/A6UqrD4CIAAPouV.jpg,A6UqrD4CIAAPouV.jpg,yes,yes,partial,262663072521527296
"After 1st attempt it's safe to say I'm not Asian. Presentation: 5/10, taste: 4/10. #cookingfail #justbuyitnexttime http://t.co/iNjqgqXK",http://pbs.twimg.com/media/A6LXu5RCQAAAqT7.jpg,A6LXu5RCQAAAqT7.jpg,yes,yes,partial,262008928982941697
#cookingfail http://t.co/m2s8G43A,http://pbs.twimg.com/media/A6KVYX_CYAADeHV.jpg,A6KVYX_CYAADeHV.jpg,yes,yes,partial,261935974299361280
Can't figure out what this is missing... #cookingfail http://t.co/rlcb7Y2g,http://pbs.twimg.com/media/A6GA2x4CQAAPdRh.jpg,A6GA2x4CQAAPdRh.jpg,yes,yes,CD,261631931945467904
Why my sister tries is beyond me... #cookingfail #holyfuck http://t.co/d7O4Lza1,http://pbs.twimg.com/media/A4pNCbpCEAEAPvk.jpg,A4pNCbpCEAEAPvk.jpg,yes,yes,partial,255101033070596096
This is how my attempt would work out #cookingfail http://t.co/L8J9kIHr,http://pbs.twimg.com/media/A4oPNlUCEAA-aIT.jpg,A4oPNlUCEAA-aIT.jpg,yes,yes,partial,255033054924509184
Sandwiches and cherryade for dinner @MikeyBarnes7 #cookingfail #nothavingarepeatoflastnight http://t.co/NI7uBo8r,http://pbs.twimg.com/media/A4h0D9ICIAAR0Zv.jpg,A4h0D9ICIAAR0Zv.jpg,yes,yes,partial,254580990234730496
Kind of overcooked my potato.... #cookingfail #ireallywantedthat http://t.co/VuT6bKER,http://pbs.twimg.com/media/A4Z87QqCcAAXIRF.jpg,A4Z87QqCcAAXIRF.jpg,yes,yes,partial,254027786510036994
Channeling my daddy. Confession: didn't taste as good as it looked #cookingfail #winesavestheday #nofilter http://t.co/iVxVCQ3e,http://pbs.twimg.com/media/A3RZl0XCIAA63uI.jpg,A3RZl0XCIAA63uI.jpg,yes,yes,partial,248922385649115136
Ermmm who knew the plastic container would do this.... #domesticgoddess #cookingfail http://t.co/Mhlew3Z,http://pbs.twimg.com/media/A3As3kmCQAE2jo1.jpg,A3As3kmCQAE2jo1.jpg,yes,yes,CD,247747312728817664
"My omelet creation, think I'll stick to scrambled eggs #CookingFail http://t.co/DtFQV1DR",http://pbs.twimg.com/media/A2tgI20CAAA8QB3.jpg,A2tgI20CAAA8QB3.jpg,yes,yes,partial,246396309882404865
"""it's like soup with rice"" my housemate said hopefully as we acknowledged my #cookingfail #nomoreexperiments http://t.co/Yw8jCjJ7",http://pbs.twimg.com/media/A2qsswzCIAAlcIm.jpg,A2qsswzCIAAlcIm.jpg,yes,yes,alt,246199014654091264
Smart price mince ruined my Bolognese :( #Asda #cookingfail http://t.co/G4AGw1Ea,http://pbs.twimg.com/media/A2iI4WkCYAAk5fN.jpg,A2iI4WkCYAAk5fN.jpg,yes,yes,partial,245596681398280193
Sorry @IamLG I burnt your breast #CookingFail http://t.co/I1Ai3BFA,http://pbs.twimg.com/media/A1_-CQCCAAEbjZb.jpg,A1_-CQCCAAEbjZb.jpg,yes,yes,CD,243192219513782272
"Mum failed to tell me she does not own a baking tray... fair enough, either do I! #improvising #cookingfail #anzacs http://t.co/GxrCl93i",http://pbs.twimg.com/media/A16_eHrCEAAc8iz.jpg,A16_eHrCEAAc8iz.jpg,yes,yes,partial,242841954096910336
Got caught up in an intense game of x's and o's  #burntfries #cookingfail #golfcoursepains @SheenaRae25 http://t.co/tI4rfS3Y,http://pbs.twimg.com/media/A1fsxIoCEAICFB_.jpg,A1fsxIoCEAICFB_.jpg,yes,yes,partial,240921433956552704
"My attempt at making an Omlette. It tastes like one at least, that's what counts right?...  #cookingfail http://t.co/9CYygSEQ",http://pbs.twimg.com/media/A1UhePyCAAAkwg1.jpg,A1UhePyCAAAkwg1.jpg,yes,yes,partial,240134958641971200
probs a bad sign if my vegan pizza idea ends up looking like vomit. #cookingfail http://t.co/AIq37Ttp,http://pbs.twimg.com/media/A03KW3FCIAAa5Tp.jpg,A03KW3FCIAAa5Tp.jpg,yes,yes,alt,238068849407303680
I made a bit too much rice .. #cookingfail http://t.co/UFpkyffu,http://pbs.twimg.com/media/A0NjbwkCAAAtGfV.jpg,A0NjbwkCAAAtGfV.jpg,yes,yes,partial,235140934092849152
Just like on the box... #CookingFail http://t.co/NCFbDviY,http://pbs.twimg.com/media/AzKYCbOCAAAkFsn.jpg,AzKYCbOCAAAkFsn.jpg,yes,yes,partial,230413698378891264
Toad in a pancake. #cookingfail #mumsspeciality http://t.co/AbQFfoG4,http://pbs.twimg.com/media/Ax8PrYlCEAEx9Q2.jpg,Ax8PrYlCEAEx9Q2.jpg,yes,yes,CD,224915744389992452
"#cookingfail. When a box says you can use a 9"" cake pan I expect to be able to use one I'm def missing the cooking gene http://t.co/UkQKwztu",http://pbs.twimg.com/media/Axfe7vPCQAEfNvk.jpg,Axfe7vPCQAEfNvk.jpg,yes,yes,CD,222891824442916866
My daughters version of the #Nutella cookie does not look like the #Pinterest version! #cookingfail http://t.co/xISe1B7z,http://pbs.twimg.com/media/AxfDcItCQAEY_Eu.jpg,AxfDcItCQAEY_Eu.jpg,yes,yes,partial,222861594714062848
"@CarinaKill just another 'successful' day in the kitchen, after doubling up still resembles a pancake. #cookingfail http://t.co/R920LlrK",http://pbs.twimg.com/media/Awk4BFOCQAAiQeZ.jpg,Awk4BFOCQAAiQeZ.jpg,yes,yes,partial,218767648127860736
I think I made too much? #cookingfail http://t.co/URlWQrm0,http://pbs.twimg.com/media/AvZHwiLCIAI04V2.jpg,AvZHwiLCIAI04V2.jpg,yes,yes,partial,213436931479052288
Hmmm first experiment with agar agar in panna cotta didn't work so well #notset #cookingfail #moretesting http://t.co/3Jhj7gMX,http://pbs.twimg.com/media/AuvGtofCAAIo420.jpg,AuvGtofCAAIo420.jpg,yes,yes,partial,210480294862651393
*mentally rotate image* My brunch consisted of overcooked swordfish and jellyfish. #CookingFAIL Hahahaha http://t.co/mV5P39V,http://pbs.twimg.com/media/AtxHr3gCMAA1B4y.jpg,AtxHr3gCMAA1B4y.jpg,yes,yes,partial,206118501902069760
@PomFlanagan why does my omelette look like scrambled eggs... #cookingfail http://t.co/j18OHORc,http://pbs.twimg.com/media/AtbLqqkCEAEBr9U.jpg,AtbLqqkCEAEBr9U.jpg,yes,yes,CD,204574766928105473
@shandypants1 this is his attempt at gravy. Looks like a sloppy cat pooh.  #cookingfail http://t.co/iClx1WW7,http://pbs.twimg.com/media/AsO-i9sCIAAY6S-.jpg,AsO-i9sCIAAY6S-.jpg,yes,yes,CD,199212316410126337
"No one in my house will eat the food I make, I don't see why not, these cakes look good to me #cookingfail http://t.co/ByzcctTq",http://pbs.twimg.com/media/AsGOwlgCEAEspvs.jpg,AsGOwlgCEAEspvs.jpg,yes,yes,partial,198596823928147968
My fail at cooking ... What it's suppose to look like compared to actual ... #cookingfail http://t.co/vDnrmKg6,http://pbs.twimg.com/media/Arv1M3ECIAAPYk4.jpg,Arv1M3ECIAAPYk4.jpg,yes,yes,partial,197020610004656128
I got distracted and they got a little burnt. These are the slightly better ones.  #cookingfail http://t.co/vXQKxTWo,http://pbs.twimg.com/media/ArBN9pXCMAAc0O6.jpg,ArBN9pXCMAAc0O6.jpg,yes,yes,partial,193740505442562048
Oooooops #cookingFAIL http://t.co/GUL9qXX,http://pbs.twimg.com/media/Aq7OWUzCAAAyC3d.jpg,Aq7OWUzCAAAyC3d.jpg,yes,yes,partial,193318716954509312
"This is what happens, when you forget you have very little spaghetti left  in the cupboard! #cookingfail http://t.co/cDuuMHYc",http://pbs.twimg.com/media/Aqx0KMoCEAAZ_al.jpg,Aqx0KMoCEAAZ_al.jpg,yes,yes,perfect,192656602598346752
Made a semi failed attempt at Rad Na #thai #cookingfail #mediocrecook http://t.co/OhObZWau,http://pbs.twimg.com/media/AqkFkYfCIAEVUCM.jpg,AqkFkYfCIAEVUCM.jpg,yes,yes,partial,191690581741805568
ALWAYS FOLLOW THE DIRECTIONS! Our else you will get a piece of caca like this! #cookingfail http://t.co/UHIroRwf,http://pbs.twimg.com/media/AqFwrlDCMAEj06S.jpg,AqFwrlDCMAEj06S.jpg,yes,yes,partial,189556553299406849
Why is it my cooking never matches what the packet says :-( #cookingfail http://t.co/PrOYyPEw,http://pbs.twimg.com/media/Ap0WYP8CQAAIgSv.jpg,Ap0WYP8CQAAIgSv.jpg,yes,yes,CD,188331365266243584
At least they taste nice #cookingfail http://t.co/HTpsXdyi,http://pbs.twimg.com/media/ApjbdcKCEAA6O7U.jpg,ApjbdcKCEAA6O7U.jpg,yes,yes,partial,187140683352641538
"Who knew there was so many ways to mess up a #frozenturkeyburger #cookingfail @StephMLamb I owe u a boca, no surprise http://t.co/Mn5X986k",http://pbs.twimg.com/media/AphJfPGCQAANKrE.jpg,AphJfPGCQAANKrE.jpg,yes,yes,partial,186980185504104449
Cheese sauce so lumpy we had to seive it. #cookingfail http://t.co/UJ5HJrmQ,http://pbs.twimg.com/media/ApfjQjeCMAE7Wye.jpg,ApfjQjeCMAE7Wye.jpg,yes,yes,partial,186867783093596166
Apparently adding a ton of cilantro is the only way to make my cooking tolerable. #cookingfail #itried http://t.co/KwR4BdyQ,http://pbs.twimg.com/media/AoosWXrCEAAQCqt.jpg,AoosWXrCEAAQCqt.jpg,yes,yes,partial,183007497680982016
@softballjunky09 // I can't believe you cooked expired mashed potatoes! #cookingfail http://t.co/WNwzzCN,http://pbs.twimg.com/media/AojB2IoCQAIkEHy.jpg,AojB2IoCQAIkEHy.jpg,yes,yes,CD,182608920676810753
Trying to melt chocolate but instead cooking it #cookingfail http://t.co/XJguowax,http://pbs.twimg.com/media/AoSao9ZCEAAIROv.jpg,AoSao9ZCEAAIROv.jpg,yes,yes,partial,181439913462468608
