Tweet,Image_Url,Image_Name,Qn1,Qn2,Qn3,Tweet_id
I tried to make a cake for my roommate's birthday tomorrow. It is the ugliest cake ever. :( #bakingfail http://t.co/O2niBF0rPl,http://pbs.twimg.com/media/BW_Fgn8CMAA0HCs.jpg,BW_Fgn8CMAA0HCs.jpg,yes,yes,alt,391748857052139520
Pirate cake pops are just not my forte. #BakingFail http://t.co/OVinTQHt,http://pbs.twimg.com/media/A0DgsoaCUAABqpu.jpg,A0DgsoaCUAABqpu.jpg,yes,yes,partial,234434237984559104
Well this was an unfortunate turn of events #bakingfail http://t.co/H2fvTLl3,http://pbs.twimg.com/media/Azt7n7_CAAAquiD.jpg,Azt7n7_CAAAquiD.jpg,yes,yes,CD,232915731782696960
"So they might not look like brownies, but I'm sure they taste great...right? #bakingfail http://t.co/35xPMGFp",http://pbs.twimg.com/media/AztLylQCEAEa_zy.jpg,AztLylQCEAEa_zy.jpg,yes,yes,alt,232863138100416513
good job i didn't enter the great british bake off.. #bakingfail http://t.co/XgV2rF2nlz,http://pbs.twimg.com/media/BWeykZuIMAA5-8N.jpg,BWeykZuIMAA5-8N.jpg,yes,yes,CD,389476231416393728
Burnt macarons #BakingFail http://t.co/TXX7dJUE2E,http://pbs.twimg.com/media/BWa-aN8IEAAVbfB.jpg,BWa-aN8IEAAVbfB.jpg,yes,yes,alt,389207775580286976
I'm pretty sure stumbleupon sucks at giving directions... @mccantssamantha #bakingfail http://t.co/BCfdNC7I,http://pbs.twimg.com/media/AzPoQxSCcAIvNYD.jpg,AzPoQxSCcAIvNYD.jpg,yes,yes,perfect,230783380726378497
These are rising 99.9% faster and more than I anticipated! AHHH! #bakingfail http://t.co/ynw8J7kfHd,http://pbs.twimg.com/media/BWLkwRZCAAEgo3t.jpg,BWLkwRZCAAEgo3t.jpg,yes,yes,perfect,388124036019941377
Find the cookies #bakingfail #wannabeoreos @rachwils http://t.co/kPME1sKR,http://pbs.twimg.com/media/AzGJtM5CcAAgkQP.jpg,AzGJtM5CcAAgkQP.jpg,yes,yes,partial,230116465611796480
Hope they taste better than they look. #BakingFail. #RedVelvetCupcakes. #StickToYourDayJob. http://t.co/qrk9Qw4sEc,http://pbs.twimg.com/media/BWLY8hPIEAAnl7Z.jpg,BWLY8hPIEAAnl7Z.jpg,yes,yes,CD,388111052220940288
So this just happened.  I quit you Monday.  #bakingfail http://t.co/j7cfbxbJaA,http://pbs.twimg.com/media/BWBfXztCMAA80xG.jpg,BWBfXztCMAA80xG.jpg,yes,yes,CD,387414430864007168
"These started as bats, ghosts, &amp; cats. #BakingFail Just call them pumpkins http://t.co/ICUAuwLUPE",http://pbs.twimg.com/media/BWBaN5RCYAAVDjL.jpg,BWBaN5RCYAAVDjL.jpg,yes,yes,partial,387408762866126848
errr....pie isn't supposed to look like this.. #bakingfail #letstrythatagain http://t.co/mzxN8rXf,http://pbs.twimg.com/media/AyxJWFsCMAA74Ex.jpg,AyxJWFsCMAA74Ex.jpg,yes,yes,partial,228638324913483776
@chelseawestern #bakingfail http://t.co/1PiXnHyb,http://pbs.twimg.com/media/AyE-cdpCQAEgqUI.jpg,AyE-cdpCQAEgqUI.jpg,yes,yes,partial,225530115050848257
"“@RachLynch27: Some delicious meat ready to go for tonight's BBQ.""
Accompanied by cupcakes in a cake? #bakingfail http://t.co/FaJTfBmN",http://pbs.twimg.com/media/AxWdo7fCIAA11eK.jpg,AxWdo7fCIAA11eK.jpg,yes,yes,alt,222257083104501761
#Bakingfail #cookiesinabowl #happyfourth http://t.co/iaGQ0zd,http://pbs.twimg.com/media/Aw-PHwXCEAEjeO0.jpg,Aw-PHwXCEAEjeO0.jpg,yes,yes,CD,220552270163611648
That time the entire batch of cookies merged into one SuperCookie #BakingFail http://t.co/rUxeNpn742,http://pbs.twimg.com/media/BVXnkfGCEAAUZDA.jpg,BVXnkfGCEAAUZDA.jpg,yes,yes,partial,384467957293645824
yet another #bakingfail . Happy Birthday Mom... http://t.co/ggsrC3BP,http://pbs.twimg.com/media/AwShgbSCIAAstg8.jpg,AwShgbSCIAAstg8.jpg,yes,yes,partial,217476260467712000
"Tried to make rocky road for sons school charity bake today, suspect these may not pass muster. #bakingfail http://t.co/uBweKYuzFO",http://pbs.twimg.com/media/BVJtZgLCQAAwoa7.jpg,BVJtZgLCQAAwoa7.jpg,yes,yes,alt,383489203910090753
Hahahahahaha wtf is this #bakingfail http://t.co/GHl4PfDw8D,http://pbs.twimg.com/media/BVF00qnCEAAYkmh.jpg,BVF00qnCEAAYkmh.jpg,yes,yes,partial,383215891590045697
"Apparently when you forget the brown sugar, you get cookie balls. #bakingfail #imnobettycrocker http://t.co/c5oNe4AQ",http://pbs.twimg.com/media/AwRXtq1CEAEQ5kO.jpg,AwRXtq1CEAEQ5kO.jpg,yes,yes,alt,217395124114690049
Oops... #bakingfail http://t.co/nVwUMsqOJs,http://pbs.twimg.com/media/BUs6tiBCEAA8E7M.jpg,BUs6tiBCEAA8E7M.jpg,yes,yes,perfect,381463147539726336
Worst assortment of cookies ever #bakingfail http://t.co/zjTdRfd7,http://pbs.twimg.com/media/AwMOZzrCEAAUcFj.jpg,AwMOZzrCEAAUcFj.jpg,yes,yes,partial,217033043569938432
Tried to make cream puffs today... They turned out looking like macaroons. #bakingfail http://t.co/YkJXC4kW,http://pbs.twimg.com/media/Av5Fp8UCAAM6jq7.jpg,Av5Fp8UCAAM6jq7.jpg,yes,yes,partial,215686419019071488
Okay so it didn't all come out of the pan but it tastes good . #bakingfail http://t.co/auIewD98cO,http://pbs.twimg.com/media/BT_7Nb3CAAAY00q.jpg,BT_7Nb3CAAAY00q.jpg,yes,yes,partial,378297102175965185
I'm not a baker. this looked so much better online.. #bakingfail #pinterestfail probs delicious though #unemployment http://t.co/VpDruiT0Jt,http://pbs.twimg.com/media/BT57gMJIMAAWxDD.jpg,BT57gMJIMAAWxDD.jpg,yes,yes,partial,377875212140027904
"Instead of just melting the butter, @AdmiralGreen07  melted all the things #somuchforchocolatechip #bakingfail http://t.co/wEggpZmwJU",http://pbs.twimg.com/media/BTrqZ2QIMAAqcdo.jpg,BTrqZ2QIMAAqcdo.jpg,yes,yes,partial,376871248992927744
Recipe says 25 mins. I leave them 10. #BakingFail @KatyRob http://t.co/87IGWMsf3I,http://pbs.twimg.com/media/BTGItEpIcAARhXc.jpg,BTGItEpIcAARhXc.jpg,yes,yes,partial,374230552637079552
"If i had remembered to grease the tin, I wouldn't need a chisel to get the bread out #bakingfail http://t.co/XEd1nUZF",http://pbs.twimg.com/media/Av2cnY5CEAAbk_0.jpg,Av2cnY5CEAAbk_0.jpg,yes,yes,CD,215500557685755907
This is what happens when you dropped a half-baked jam tart inside the oven. #BakingFail #ItRainedItPoured http://t.co/FrBP9lkd,http://pbs.twimg.com/media/Av13FNjCAAAGQI_.jpg,Av13FNjCAAAGQI_.jpg,yes,yes,partial,215459288594907138
Only I could make a cake be overbaked on one side and not baked at all on the other. #bakingfail #cantgetmarriedyet http://t.co/oVsCPmGyX8,http://pbs.twimg.com/media/BShjAajIQAAtseb.jpg,BShjAajIQAAtseb.jpg,yes,yes,alt,371655828144914432
"This the giant cupcake I spent all morning baking, which just slid apart in the car. #bakingfail http://t.co/KJDChWtf59",http://pbs.twimg.com/media/BSItjrTIcAA8_Nn.jpg,BSItjrTIcAA8_Nn.jpg,yes,yes,CD,369908210561732608
Flapjack? Or Smash-jack (as my husband has affectionately named it)?! #bakingfail #notpatientenoughtowaitforittocool http://t.co/WOf9GbvF,http://pbs.twimg.com/media/AvcwSzMCMAAF6Vc.jpg,AvcwSzMCMAAF6Vc.jpg,yes,yes,CD,213692606851461120
Birthday cake for @Kate_Ireland123 broke the fall of a jar of Nutella. #Gutted #bakingfail http://t.co/lm1KzbRUTX,http://pbs.twimg.com/media/BSDAzVfCYAAC0vQ.jpg,BSDAzVfCYAAC0vQ.jpg,yes,yes,partial,369507157609177090
Apparently setting timers is not one of y life skills. Now my rhubarb cake is burnt. #bakingfail http://t.co/KKGjfrl7,http://pbs.twimg.com/media/AvXDu-ICQAIejsq.jpg,AvXDu-ICQAIejsq.jpg,yes,yes,partial,213291769083871232
How does this even happen? #bakingfail http://t.co/P6iaGr5b1v,http://pbs.twimg.com/media/BR-MfGGCIAA2bYi.jpg,BR-MfGGCIAA2bYi.jpg,yes,yes,CD,369168160575877122
The only decent looking cupcake in the bunch! #bakingfail http://t.co/RWggfihy,http://pbs.twimg.com/media/AvJodJGCQAISHaw.jpg,AvJodJGCQAISHaw.jpg,yes,yes,partial,212346982302367744
Wondered where the vanilla lid was. Oops! #bakingfail http://t.co/rRi82JO7LP,http://pbs.twimg.com/media/BRlNIq1CYAA2YdX.jpg,BRlNIq1CYAA2YdX.jpg,yes,yes,partial,367409655934246912
Jubilee flag battenberg. Lots of food dye and icing. Not so much skill or execution... #bakingfail http://t.co/nC0aEmxC,http://pbs.twimg.com/media/AudFGH3CIAAF1b5.jpg,AudFGH3CIAAF1b5.jpg,yes,yes,partial,209211879183228928
Why is it that ONE cupcake is always smaller than the rest? #bakingfail http://t.co/lTDnteimeq,http://pbs.twimg.com/media/BRJ3TVzCcAA56TV.jpg,BRJ3TVzCcAA56TV.jpg,yes,yes,perfect,365485693918670848
And every single tray of cookies I have baked tonight looks like this. And I have no idea why. #bakingfail http://t.co/789pCCzS,http://pbs.twimg.com/media/AuRHv4kCIAAm2s7.jpg,AuRHv4kCIAAm2s7.jpg,yes,yes,partial,208370370720440321
Clearly off my game today. #bakingfail http://t.co/cjfkS0i6,http://pbs.twimg.com/media/At1fxpTCMAEdkic.jpg,At1fxpTCMAEdkic.jpg,yes,yes,partial,206426464428634113
I think I better stick to chocolate chip cookies lol #BakingFail http://t.co/k140i19g9x,http://pbs.twimg.com/media/BQ81Y17CQAEtgSa.jpg,BQ81Y17CQAEtgSa.jpg,yes,yes,alt,364568795739734021
So the recipe said it makes 12... It definitely lied. #bakingfail #mutantcakes http://t.co/zmP4Q6GOsa,http://pbs.twimg.com/media/BQ6nxauCcAAQvpZ.jpg,BQ6nxauCcAAQvpZ.jpg,yes,yes,partial,364413087287242752
Armand then this happened... #bakingfail @laurasaysgo http://t.co/XIpbHXyI,http://pbs.twimg.com/media/AtZ3_V1CIAAj4yA.jpg,AtZ3_V1CIAAj4yA.jpg,yes,yes,partial,204482763158593537
Preparing to sugar-load ahead of a big night in news! #electionwatch #bakingfail http://t.co/iLP2YYZKVg,http://pbs.twimg.com/media/BQy66XjCcAA-120.jpg,BQy66XjCcAA-120.jpg,yes,yes,CD,363871181822128128
My failed attempt at baking banana muffins in toaster oven.  #bakingfail http://t.co/V8pvHwVD,http://pbs.twimg.com/media/AtW12ULCQAAlvTG.jpg,AtW12ULCQAAlvTG.jpg,yes,yes,partial,204269302843588608
RT @ickissfish: Oh no! Hockey pucks! RT @Meg_R_Campbell: Uh oh! #bakingfail #wrbakesale http://t.co/gE2t7byf8l,http://pbs.twimg.com/media/BQtSBIfCMAA2Q2l.jpg,BQtSBIfCMAA2Q2l.jpg,yes,yes,partial,363490281078784002
"You win this round, gender stereotyping. #bakingfail #cookies http://t.co/aXrDCmZR",http://pbs.twimg.com/media/Ars_l8JCAAES4Sb.jpg,Ars_l8JCAAES4Sb.jpg,yes,yes,partial,196820929748271104
Baking oatmeal and raisin cookies. Having to do them two at a time because our ovens too small. #bakingfail #cooking http://t.co/FU5WGos4,http://pbs.twimg.com/media/ArmfBRiCEAAV2F7.jpg,ArmfBRiCEAAV2F7.jpg,yes,yes,partial,196362902993768448
What the hell happened to my frosting? #bakingfail #uglycupcakes http://t.co/XNXlf3RSqz,http://pbs.twimg.com/media/BQia4oQCEAAgQgU.jpg,BQia4oQCEAAgQgU.jpg,yes,yes,partial,362710067667144705
Never tasted anything so bad in my life #bakingfail #lowfatmuffins http://t.co/rL2Sdp0jQq,http://pbs.twimg.com/media/BQf2-boCUAAUd_k.jpg,BQf2-boCUAAUd_k.jpg,yes,yes,alt,362529847450423296
#bakingfail Instagram can't even make this one look good. http://t.co/jYJnp09T,http://pbs.twimg.com/media/ArWNm8wCEAANXMv.jpg,ArWNm8wCEAANXMv.jpg,yes,yes,partial,195217859138424832
It's a good thing I'm funny... #bakingfail http://t.co/V610OtLfY9,http://pbs.twimg.com/media/BPQY1dnCMAIKpRM.jpg,BPQY1dnCMAIKpRM.jpg,yes,yes,partial,356937577225400320
Wax paper is a bitch! #bakingfail @walmSar http://t.co/yeR8MJWN,http://pbs.twimg.com/media/ArHZhDUCIAAJCJi.jpg,ArHZhDUCIAAJCJi.jpg,yes,yes,perfect,194175420797689858
Forgot a second cup of flour. #bakingfail #stilltastesgood http://t.co/LXZFHSXq,http://pbs.twimg.com/media/AqqGP05CQAAxNqc.jpg,AqqGP05CQAAxNqc.jpg,yes,yes,partial,192113540566499328
However...they stuck to the pan. Now fruit cups with sugar cookie crumbs. #bakingfail http://t.co/dC5TfKMe,http://pbs.twimg.com/media/Aqpjdy4CEAAh9jd.jpg,Aqpjdy4CEAAh9jd.jpg,yes,yes,partial,192075297636618240
"Me, last night.  Major #bakingFail http://t.co/yltJNkud",http://pbs.twimg.com/media/AqnIvt1CMAE6jOi.jpg,AqnIvt1CMAE6jOi.jpg,yes,yes,partial,191905181217206272
Extremely tempted to not actually bake but devour this bowl right now. Oof. #bakingfail http://t.co/82SwA4g7rQ,http://pbs.twimg.com/media/BOA3nceCMAAdGjm.jpg,BOA3nceCMAAdGjm.jpg,yes,yes,CD,351341921723101185
After yest #bakingfail ta brain fog/recipe blunder meet joint effort twixt hubs & I :-) Him sponge me confectioner bit! http://t.co/tbeqFFwb,http://pbs.twimg.com/media/AqiHRmFCIAAuAOC.jpg,AqiHRmFCIAAuAOC.jpg,yes,yes,perfect,191551720508235778
Never rub another man's rhubarb (pie). #GoodAdvice #NotMyBestAttempt #BakingFail http://t.co/s2o1bhjFAy,http://pbs.twimg.com/media/BNpjJstCAAM4wvr.jpg,BNpjJstCAAM4wvr.jpg,yes,yes,CD,349700939340447744
"We'll just call these GF ""Giant Fingers"" instead of ""Lady Fingers""... Haha! #magical #bakingfail http://t.co/pxEcIr5r",http://pbs.twimg.com/media/AqLc1_-CMAItk5S.jpg,AqLc1_-CMAItk5S.jpg,yes,yes,partial,189956954561589248
Freestyled some muesli flapjacks. They are just sticky warm muesli #middleclassproblems #bakingfail http://t.co/Jz33bSxuzZ,http://pbs.twimg.com/media/BNjVaZXCMAEj81R.jpg,BNjVaZXCMAEj81R.jpg,yes,yes,partial,349263620573638657
Tried to bake something to cheer myself up yesterday and ended making a total mess of things #bakingfail #nailedit http://t.co/cedRBW5iWv,http://pbs.twimg.com/media/BM4FYqtCcAA8jRH.jpg,BM4FYqtCcAA8jRH.jpg,yes,yes,alt,346220142688104448
Fail brownies #bakingfail http://t.co/l3yxStAfh1,http://pbs.twimg.com/media/BMx9cFnCIAAeXSZ.jpg,BMx9cFnCIAAeXSZ.jpg,yes,yes,partial,345789192892194819
Looks like a poo pie! #pieofpoop #bakingfail http://t.co/VaNPzAFvAz,http://pbs.twimg.com/media/BMaxJPaCQAE0DtJ.jpg,BMaxJPaCQAE0DtJ.jpg,yes,yes,alt,344157193848897537
@jadoogan @mariannemichael something happened and the base is too far gone... #bakingfail http://t.co/813wU0F9,http://pbs.twimg.com/media/AqFuVNrCEAIP7B4.jpg,AqFuVNrCEAIP7B4.jpg,yes,yes,CD,189553970048536576
@agibsonwrites that's what we said! Although it looks even sadder after being upside down in the car. #bakingfail http://t.co/isvaknbmV5,http://pbs.twimg.com/media/BMPzq0SCAAEC3Ui.jpg,BMPzq0SCAAEC3Ui.jpg,yes,yes,partial,343385913516228610
"Parbaking, on the other hand, needs work. #bakingfail http://t.co/BIQewp00",http://pbs.twimg.com/media/Ap99oRCCQAEz8kG.jpg,Ap99oRCCQAEz8kG.jpg,yes,yes,CD,189007840088834048
We don't even know if it's ready or not @superchiicka  @katlyndenielle #bakingfail http://t.co/qH5bDaeo,http://pbs.twimg.com/media/Ap54cumCMAAA2IL.jpg,Ap54cumCMAAA2IL.jpg,yes,yes,CD,188720669326979073
Hmmm they look more like biscuits than profiteroles #bakingfail http://t.co/69A8h9vZ,http://pbs.twimg.com/media/Ap4EKBdCIAEktzt.jpg,Ap4EKBdCIAEktzt.jpg,yes,yes,partial,188592804627357696
@eric_lanlard hey! Tried baking the salted caramel cake last night but it exploded! Help!! #bakingfail http://t.co/iSrjVlw2ny,http://pbs.twimg.com/media/BK5sRImCIAEUUDh.jpg,BK5sRImCIAEUUDh.jpg,yes,yes,partial,337326063715753984
Just stick it in #french #bakingfail http://t.co/TMI24JUufO,http://pbs.twimg.com/media/BK5jzRPCEAEP5L9.jpg,BK5jzRPCEAEP5L9.jpg,yes,yes,CD,337316754546102274
"Note to self: buttermilk is a liquid, not a powder. #bakingfail #taketwo http://t.co/s9kW1213",http://pbs.twimg.com/media/AocVUh_CMAATiAR.jpg,AocVUh_CMAATiAR.jpg,yes,yes,CD,182137752387727361
"Erin liked the biscuits I made this morning. Trouble is, they're supposed to be scones!!! They never work #BakingFail http://t.co/rFbZRp8iyw",http://pbs.twimg.com/media/BKiRkx0CYAAAFsJ.jpg,BKiRkx0CYAAAFsJ.jpg,yes,yes,partial,335678233263628288
Dammit! Over done my flapjacks :( are crunchy not chewy. Boo. #bakingfail http://t.co/hq1NhicZ,http://pbs.twimg.com/media/An4TUZxCQAA3Cz-.jpg,An4TUZxCQAA3Cz-.jpg,yes,yes,alt,179602276367876096
#mess #bakingfail !! http://t.co/WVbyyO1OGu,http://pbs.twimg.com/media/BJ2kyXpCEAItR21.jpg,BJ2kyXpCEAItR21.jpg,yes,yes,CD,332603132733427712
all i wanted was to make a muffin cake ..#bakingfail #stilltastesgood http://t.co/ouM3Hhng,http://pbs.twimg.com/media/AnusqjoCEAA1dwH.jpg,AnusqjoCEAA1dwH.jpg,yes,yes,partial,178926457324703745
Tasted good. Too bad I didn't want the cake to look like she was barfing :-) #bakingfail http://t.co/DOfXHVZyIT,http://pbs.twimg.com/media/BJo3b_qCIAIOw1b.jpg,BJo3b_qCIAIOw1b.jpg,yes,yes,partial,331638476640493568
My first (and last) attempt at making whooping pies. Are they meant to be the size of tennis balls? #bakingfail http://t.co/rsZ0FZDu,http://pbs.twimg.com/media/AmmH2u_CMAE8OWo.jpg,AmmH2u_CMAE8OWo.jpg,yes,yes,partial,173819435012993027
